Date,Open,High,Low,Close,Adj Close,Volume,Ticker
5/22/08,25.290001,25.309999,25.26,25.290001,20.759453,367600,CYB
5/23/08,25.33,25.379999,25.25,25.290001,20.759453,98800,CYB
5/27/08,25.379999,25.379999,25.24,25.26,20.734827,188500,CYB
5/28/08,25.23,25.23,25.120001,25.209999,20.693783,34800,CYB
5/29/08,25.299999,25.299999,25.18,25.27,20.743036,60500,CYB
5/30/08,25.32,25.32,25.200001,25.25,20.72662,45800,CYB
6/2/08,25.379999,25.379999,25.280001,25.32,20.784077,93600,CYB
6/3/08,25.379999,25.4,25.290001,25.33,20.792284,207300,CYB
6/4/08,25.299999,25.379999,25.26,25.379999,20.833328,85500,CYB
6/5/08,25.27,25.33,25.25,25.290001,20.759453,193600,CYB
6/6/08,25.33,25.389999,25.27,25.360001,20.816912,161800,CYB
6/9/08,25.33,25.42,25.290001,25.34,20.800493,572200,CYB
6/10/08,25.309999,25.549999,25.299999,25.389999,20.841537,293300,CYB
6/11/08,25.450001,25.450001,25.299999,25.34,20.800493,136100,CYB
6/12/08,25.379999,25.549999,25.34,25.379999,20.833328,197400,CYB
6/13/08,25.4,25.459999,25.309999,25.360001,20.816912,231600,CYB
6/16/08,25.34,25.51,25.34,25.4,20.849745,361100,CYB
6/17/08,25.540001,25.549999,25.440001,25.459999,20.898996,260500,CYB
6/18/08,25.530001,25.530001,25.450001,25.459999,20.898996,389500,CYB
6/19/08,25.49,25.5,25.42,25.49,20.923622,180900,CYB
6/20/08,25.52,25.57,25.5,25.549999,20.972872,341200,CYB
6/23/08,25.719999,25.719999,25.48,25.59,21.005709,829100,CYB
6/24/08,25.6,25.6,25.459999,25.52,20.948248,269800,CYB
6/25/08,25.58,25.58,25.48,25.530001,20.956457,103000,CYB
6/26/08,25.549999,25.58,25.51,25.530001,20.956457,135800,CYB
6/27/08,25.530001,25.6,25.5,25.549999,20.972872,438800,CYB
6/30/08,25.66,25.74,25.530001,25.540001,20.964666,550500,CYB
