Date,Open,High,Low,Close,Adj Close,Volume,Ticker
3/18/96,60,60.25,60,60.25,42.74509,16300,EWJ
3/19/96,60,60,60,60,42.567711,2500,EWJ
3/20/96,60,60,60,60,42.567711,4350,EWJ
3/21/96,60.5,61.5,60.5,61.5,43.63192,18300,EWJ
3/22/96,61,61.5,61,61.25,43.454536,19825,EWJ
3/25/96,62,62,61.25,61.75,43.809273,65275,EWJ
3/26/96,61.75,62,61.5,61.75,43.809273,94075,EWJ
3/27/96,62.25,62.5,62,62.25,44.164001,24000,EWJ
3/28/96,62,62.5,62,62.25,44.164001,102575,EWJ
3/29/96,62.5,63,62.5,62.75,44.518734,254525,EWJ
4/1/96,63,63,62.75,62.75,44.518734,80875,EWJ
4/2/96,63,63.25,63,63.25,44.87347,6100,EWJ
4/3/96,63,63,62.5,62.75,44.518734,25775,EWJ
4/4/96,62.75,63,62.75,63,44.696095,25450,EWJ
4/8/96,62.5,62.5,62,62,43.986641,15525,EWJ
4/9/96,62.75,63,62.5,63,44.696095,276600,EWJ
4/10/96,62.75,63,62.5,62.5,44.341377,71350,EWJ
4/11/96,62.5,62.75,62.5,62.5,44.341377,1300,EWJ
4/12/96,62.5,62.75,62.5,62.75,44.518734,450,EWJ
4/15/96,62.75,63,62.75,63,44.696095,131250,EWJ
4/16/96,62.75,63.25,62.75,63,44.696095,60900,EWJ
4/17/96,62.75,62.75,62.5,62.75,44.518734,18300,EWJ
4/18/96,63,63.25,62.75,63,44.696095,21350,EWJ
4/19/96,63.5,64,63.5,63.75,45.228191,9750,EWJ
4/22/96,64.5,65.75,64.5,65.75,46.647121,35500,EWJ
4/23/96,65,65.25,65,65.25,46.292389,11975,EWJ
4/24/96,65.25,66,65.25,66,46.82449,260600,EWJ
4/25/96,65.5,66,65.5,65.75,46.647121,6550,EWJ
4/26/96,66.25,66.25,65.5,66,46.82449,7600,EWJ
4/29/96,66,66.25,65.5,65.5,46.469757,10700,EWJ
4/30/96,65.75,65.75,65.5,65.75,46.647121,10425,EWJ
5/1/96,65,65.75,65,65.75,46.647121,7175,EWJ
5/2/96,64.5,65.25,64.5,65,46.115028,15300,EWJ
5/3/96,65,65,64.75,65,46.115028,13475,EWJ
5/6/96,65,65.25,64.5,64.75,45.937664,44525,EWJ
5/7/96,64.5,64.75,64.25,64.75,45.937664,51075,EWJ
5/8/96,65,65,64,65,46.115028,5100,EWJ
5/9/96,64.5,64.75,64.5,64.75,45.937664,19275,EWJ
5/10/96,64.5,64.5,64,64.25,45.582924,4000,EWJ
5/13/96,63.5,63.5,63,63.25,44.87347,5100,EWJ
5/14/96,63.75,63.75,63.5,63.75,45.228191,13400,EWJ
5/15/96,64.5,64.5,64,64.25,45.582924,134775,EWJ
5/16/96,64.5,64.5,64,64.5,45.760296,2350,EWJ
5/17/96,64,64.25,63.75,64,45.405571,5625,EWJ
5/20/96,64,64,63.75,63.75,45.228191,1825,EWJ
