Date,Open,High,Low,Close,Adj Close,Volume,Ticker
3/18/96,25,25,25,25,10.670715,500,EWS
3/19/96,25.25,25.25,25.25,25.25,10.777419,18500,EWS
3/20/96,25,25,25,25,10.670715,3400,EWS
3/21/96,25,25,25,25,10.670715,0,EWS
3/22/96,25.5,25.5,25.5,25.5,10.884132,350,EWS
3/25/96,25.75,25.75,25.75,25.75,10.990837,1100,EWS
3/26/96,25.875,25.875,25.625,25.875,11.044189,1550,EWS
3/27/96,25.75,25.75,25.625,25.625,10.937485,900,EWS
3/28/96,25.25,25.25,25.25,25.25,10.777419,2500,EWS
3/29/96,25.75,25.75,25.5,25.625,10.937485,3100,EWS
4/1/96,25.75,25.75,25.25,25.25,10.777419,4900,EWS
4/2/96,25.125,25.125,24.875,25.125,10.724071,31450,EWS
4/3/96,25.25,25.25,25.25,25.25,10.777419,900,EWS
4/4/96,25.375,25.375,25.25,25.25,10.777419,1500,EWS
4/8/96,25,25,24.75,24.75,10.564007,900,EWS
4/9/96,25.125,25.125,24.75,24.75,10.564007,500,EWS
4/10/96,25.25,25.25,25,25,10.670715,4300,EWS
4/11/96,25.125,25.125,25.125,25.125,10.724071,150,EWS
4/12/96,25.125,25.25,25.125,25.25,10.777419,1000,EWS
4/15/96,25.25,25.25,25.25,25.25,10.777419,200,EWS
4/16/96,25.625,25.625,25.625,25.625,10.937485,12650,EWS
4/17/96,25.75,25.75,25.5,25.5,10.884132,6400,EWS
4/18/96,25.375,25.5,25.375,25.5,10.884132,5550,EWS
4/19/96,25.5,25.5,25.5,25.5,10.884132,2300,EWS
4/22/96,25.5,25.5,25.25,25.25,10.777419,6300,EWS
4/23/96,25.25,25.25,25,25,10.670715,14500,EWS
4/24/96,25,25,24.75,24.875,10.617364,2550,EWS
4/25/96,24.625,24.875,24.625,24.75,10.564007,5400,EWS
4/26/96,24.875,25.25,24.875,25.125,10.724071,16450,EWS
4/29/96,25.375,25.375,25.125,25.25,10.777419,2550,EWS
4/30/96,25.25,25.5,25.25,25.375,10.830773,16850,EWS
5/1/96,25.375,25.375,25.25,25.25,10.777419,6000,EWS
5/2/96,25.25,25.375,25.125,25.125,10.724071,16150,EWS
5/3/96,25.25,25.25,25.125,25.25,10.777419,9000,EWS
5/6/96,25.125,25.25,25,25.125,10.724071,7050,EWS
5/7/96,25.125,25.25,24.875,25,10.670715,15800,EWS
5/8/96,24.875,25,24.625,24.875,10.617364,8800,EWS
5/9/96,25.25,25.25,24.875,25.125,10.724071,14250,EWS
5/10/96,25.125,25.25,25,25,10.670715,7700,EWS
5/13/96,25,25.25,25,25.125,10.724071,8100,EWS
5/14/96,25,25.125,24.625,25,10.670715,33000,EWS
5/15/96,24.625,24.625,24.25,24.375,10.403945,3200,EWS
5/16/96,24.125,24.625,24.125,24.5,10.457303,4050,EWS
5/17/96,24.5,24.5,24.125,24.25,10.350593,2700,EWS
5/20/96,24.25,24.25,23.875,24.125,10.297238,9500,EWS
5/21/96,24,24.125,23.625,24.125,10.297238,14300,EWS
5/22/96,24,24,23.625,23.875,10.190536,3000,EWS
5/23/96,24.125,24.125,24.125,24.125,10.297238,50,EWS
5/24/96,23.875,24.5,23.875,24.5,10.457303,27350,EWS
5/28/96,24.5,24.5,24,24.25,10.350593,16600,EWS
5/29/96,24,24.125,24,24,10.243887,16750,EWS
5/30/96,24,24,24,24,10.243887,2100,EWS
5/31/96,24.125,24.25,24.125,24.125,10.297238,5900,EWS
6/3/96,24,24,23.25,23.5,10.03047,10900,EWS
6/4/96,23.375,23.875,23.375,23.875,10.190536,8700,EWS
6/5/96,23.75,23.75,23.75,23.75,10.13718,2100,EWS
6/6/96,24.25,24.375,24.25,24.25,10.350593,1600,EWS
6/7/96,24,24.125,23.875,24,10.243887,3900,EWS
6/10/96,24.375,24.375,24.375,24.375,10.403945,2500,EWS
6/11/96,24.375,24.375,24.25,24.25,10.350593,3300,EWS
6/12/96,24.25,24.25,24,24.125,10.297238,700,EWS
6/13/96,23.875,24,23.625,23.875,10.190536,6550,EWS
6/14/96,24.125,24.125,24.125,24.125,10.297238,700,EWS
6/17/96,24.375,24.375,23.875,23.875,10.190536,3650,EWS
6/18/96,24.25,24.375,24.25,24.375,10.403945,1850,EWS
6/19/96,24.375,24.375,24.25,24.25,10.350593,2100,EWS
6/20/96,24.375,24.375,24.375,24.375,10.403945,150,EWS
