Date,Open,High,Low,Close,Adj Close,Volume,Ticker
6/23/00,38.75,38.75,38.75,38.75,23.167648,450,EWT
6/26/00,38,38,38,38,22.719252,250,EWT
6/27/00,37.625,37.875,37.5,37.875,22.644514,2200,EWT
6/28/00,37.75,37.75,37.75,37.75,22.569778,500,EWT
6/29/00,37.75,37.75,37.75,37.75,22.569778,0,EWT
6/30/00,37.5,37.5,37.5,37.5,22.420309,12150,EWT
7/3/00,37.5,37.5,37.5,37.5,22.420309,0,EWT
7/5/00,38.625,38.75,38.625,38.75,23.167648,16150,EWT
7/6/00,37.875,38.375,37.875,38.375,22.943449,25300,EWT
7/7/00,37.5,37.75,37.5,37.625,22.495043,18050,EWT
7/10/00,37.25,37.25,37.25,37.25,22.27084,100,EWT
7/11/00,37.375,37.375,36.875,36.875,22.04664,350,EWT
7/12/00,36.75,36.75,36.75,36.75,21.971903,100,EWT
7/13/00,36.75,37.375,36.75,37.375,22.345575,700,EWT
7/14/00,38,38.125,38,38.125,22.793978,1850,EWT
7/17/00,38.75,38.875,38.75,38.875,23.242388,4500,EWT
7/18/00,37.25,37.25,37.25,37.25,22.27084,850,EWT
7/19/00,37.25,37.25,36.625,36.625,21.897173,800,EWT
7/20/00,36.25,36.75,36.25,36.75,21.971903,5600,EWT
7/21/00,35.75,35.75,35.75,35.75,21.374022,200,EWT
7/24/00,35.75,35.75,35.75,35.75,21.374022,0,EWT
7/25/00,35.75,35.75,35.75,35.75,21.374022,0,EWT
7/26/00,35.75,35.75,35.75,35.75,21.374022,0,EWT
7/27/00,35.75,35.75,35.75,35.75,21.374022,0,EWT
7/28/00,36.125,36.125,36.125,36.125,21.59823,250,EWT
7/31/00,36.125,36.125,36.125,36.125,21.59823,0,EWT
8/1/00,36.125,36.125,36.125,36.125,21.59823,0,EWT
8/2/00,36.125,36.125,36.125,36.125,21.59823,0,EWT
8/3/00,36.125,36.125,36.125,36.125,21.59823,0,EWT
8/4/00,36.125,36.125,35.875,36,21.5235,13900,EWT
8/7/00,35.75,35.75,35.75,35.75,21.374022,139850,EWT
8/8/00,35.75,35.875,35.75,35.875,21.448763,900,EWT
8/9/00,36,36.75,36,36.625,21.897173,25450,EWT
8/10/00,36.875,36.875,36.75,36.875,22.04664,950850,EWT
8/11/00,36.75,36.75,36.75,36.75,21.971903,100,EWT
8/14/00,35.625,35.625,35.125,35.625,21.299292,900,EWT
8/15/00,35.75,35.75,35.75,35.75,21.374022,250,EWT
8/16/00,36.5,36.875,36.375,36.5,21.822433,22450,EWT
8/17/00,37,37.125,37,37.125,22.196104,550,EWT
8/18/00,37.25,37.25,37.25,37.25,22.27084,5000,EWT
8/21/00,37.25,37.625,37.125,37.25,22.27084,1200,EWT
8/22/00,37.5,37.5,37.5,37.5,22.420309,16400,EWT
8/23/00,37.5,37.5,37.5,37.5,22.420309,0,EWT
8/24/00,34.5,35.375,34.5,35.375,22.164051,9050,EWT
8/25/00,35,35,35,35,21.929096,950,EWT
8/28/00,33.25,34.25,33.25,33.75,21.145914,15400,EWT
8/29/00,34.375,34.375,33.875,34.25,21.459187,250,EWT
8/30/00,33.5,33.5,33.375,33.375,20.910955,500,EWT
8/31/00,33.75,33.75,33.75,33.75,21.145914,2450,EWT
9/1/00,33,33,32.75,32.75,20.519369,1900,EWT
9/5/00,33.5,33.5,33.5,33.5,20.989279,750,EWT
9/6/00,33.5,33.5,33.5,33.5,20.989279,100,EWT
9/7/00,33,33,32.125,32.25,20.206097,84000,EWT
9/8/00,32.25,32.25,32,32,20.049459,250,EWT
9/11/00,32.75,32.75,32.125,32.25,20.206097,8550,EWT
9/12/00,32.25,32.25,32.25,32.25,20.206097,800,EWT
9/13/00,32,32,32,32,20.049459,300,EWT
9/14/00,31.125,31.25,31.125,31.25,19.57955,200,EWT
9/15/00,31,31.125,30.875,30.875,19.344599,750250,EWT
9/18/00,29.875,30.25,29.875,30.25,18.953005,250,EWT
9/19/00,29.5,29.5,29.5,29.5,18.483095,150,EWT
9/20/00,29.875,29.875,29.5,29.5,18.483095,12150,EWT
9/21/00,29.5,29.5,29.5,29.5,18.483095,0,EWT
9/22/00,28.875,29.375,28.5,29.375,18.404779,850,EWT
9/25/00,29.75,29.75,29.75,29.75,18.639732,50,EWT
9/26/00,30,30,30,30,18.79637,200,EWT
9/27/00,29.25,29.375,29.25,29.375,18.404779,10200,EWT
9/28/00,27.75,29.5,27.75,28.625,17.934868,8000,EWT
9/29/00,29.125,29.125,28.25,28.25,17.699911,14800,EWT
10/2/00,28.25,28.25,26.375,26.5,16.603458,272950,EWT
10/3/00,27,27,27,27,16.916729,50,EWT
10/4/00,26.75,27,26.125,26.125,16.368507,21500,EWT
10/5/00,27,27,26.875,26.875,16.838409,26400,EWT
10/6/00,28,28.25,27.5,27.5,17.230005,61000,EWT
10/9/00,27.375,27.625,27.375,27.625,17.308321,15150,EWT
10/10/00,27.5,27.625,27.25,27.25,17.07337,13550,EWT
10/11/00,27,27.125,27,27.125,16.99505,850,EWT
10/12/00,26,26,25.75,25.75,16.133549,39750,EWT
10/13/00,25.75,26.75,25.75,26,16.290188,56150,EWT
10/16/00,25,25,24.25,24.25,15.193735,51450,EWT
10/17/00,24.875,25.25,24.25,24.875,15.58532,34500,EWT
10/18/00,23.25,23.875,23.125,23.5,14.723823,59450,EWT
10/19/00,22.5,23.75,22.125,23.5,14.723823,29900,EWT
10/20/00,25,25,23.875,23.875,14.958776,7700,EWT
10/23/00,24.375,25.125,24.375,25.125,15.74196,7150,EWT
10/24/00,26.25,26.875,26.25,26.625,16.681776,38550,EWT
10/25/00,26.625,26.875,26.25,26.25,16.446821,3250,EWT
10/26/00,25.5,26.375,25.5,26.375,16.525145,300,EWT
10/27/00,25.375,25.375,25,25.125,15.74196,92050,EWT
10/30/00,24.125,25,24.125,25,15.663641,2050,EWT
10/31/00,24.625,25.25,24.625,24.875,15.58532,23600,EWT
11/1/00,24.125,24.5,24,24.5,15.35037,28950,EWT
11/2/00,25.625,25.75,25,25.625,16.055231,20500,EWT
11/3/00,27.25,27.25,26.25,26.5,16.603458,4550,EWT
11/6/00,26.25,26.25,25.5,25.875,16.21187,12850,EWT
11/7/00,26.875,26.875,26.75,26.75,16.760096,11400,EWT
11/8/00,27.75,27.75,27.25,27.5,17.230005,45100,EWT
11/9/00,27.5,27.5,27.25,27.25,17.07337,352500,EWT
11/10/00,27.25,27.25,27,27,16.916729,169400,EWT
11/13/00,26,26.25,25.75,26,16.290188,12750,EWT
11/14/00,26.125,27.25,26.125,27.25,17.07337,10400,EWT
