Date,Open,High,Low,Close,Adj Close,Volume,Ticker
5/12/00,19.625,19.6875,19.625,19.6875,15.360982,5300,EWY
5/15/00,19.4375,19.4375,19.4375,19.4375,15.165919,5000,EWY
5/16/00,19.8125,19.8125,19.8125,19.8125,15.458508,300,EWY
5/17/00,19.4375,19.4375,19.4375,19.4375,15.165919,400,EWY
5/18/00,19.3125,19.3125,19.25,19.25,15.019624,800,EWY
5/19/00,19.3125,19.3125,19.3125,19.3125,15.068392,18000,EWY
5/22/00,17.9375,17.9375,17.4375,17.4375,13.605441,70500,EWY
5/23/00,17.9375,18.125,17.875,17.875,13.946795,51300,EWY
5/24/00,17.6875,17.6875,17.5625,17.6875,13.800501,10600,EWY
5/25/00,18.125,18.3125,17.875,17.875,13.946795,44300,EWY
5/26/00,16.9375,17.0625,16.9375,16.9375,13.215321,21000,EWY
5/30/00,18.125,18.125,17.9375,17.9375,13.995563,32100,EWY
5/31/00,19.125,19.25,19.125,19.25,15.019624,55000,EWY
6/1/00,19.3125,19.375,19.1875,19.1875,14.970859,11500,EWY
6/2/00,20.1875,20.5,20.1875,20.5,15.994928,10400,EWY
6/5/00,21.1875,21.1875,21,21,16.385042,3100,EWY
6/6/00,21.125,21.125,20.75,20.75,16.189985,10200,EWY
6/7/00,21.5,21.5,20.5,21.25,16.580109,44100,EWY
6/8/00,20.4375,20.4375,20.25,20.25,15.799865,12000,EWY
6/9/00,22.125,22.125,22.125,22.125,17.262817,1300,EWY
6/12/00,22.5625,22.5625,22,22,17.165287,12100,EWY
6/13/00,21,21.3125,21,21.125,16.482576,14500,EWY
6/14/00,21.5,22.375,21.3125,21.625,16.872698,67500,EWY
6/15/00,20,20.25,20,20,15.604807,5300,EWY
6/16/00,19.875,19.875,19.5,19.5,15.214691,22400,EWY
6/19/00,19.75,19.75,19.5,19.6875,15.360982,3000,EWY
6/20/00,20.75,20.75,20.625,20.625,16.092455,3300,EWY
6/21/00,20.75,20.75,20.25,20.375,15.897397,22200,EWY
6/22/00,20.375,20.5,20.125,20.125,15.70234,17000,EWY
6/23/00,20.125,20.25,20.125,20.25,15.799865,2000,EWY
6/26/00,20.625,20.875,20.625,20.75,16.189985,27200,EWY
6/27/00,20.8125,20.875,20.75,20.8125,16.23875,30800,EWY
6/28/00,21,21.25,21,21.1875,16.531342,1100,EWY
6/29/00,20.875,20.9375,20.875,20.9375,16.336281,1600,EWY
6/30/00,21,21,21,21,16.385042,10000,EWY
7/3/00,21.6875,21.6875,21.6875,21.6875,16.921465,3000,EWY
7/5/00,21.5,21.5,21.25,21.375,16.677635,10700,EWY
7/6/00,21.4375,21.4375,21.375,21.375,16.677635,2700,EWY
7/7/00,21.75,22,21.6875,22,17.165287,24400,EWY
7/10/00,21.75,21.75,21.75,21.75,16.970224,3000,EWY
7/11/00,21.375,21.375,21,21,16.385042,1700,EWY
7/12/00,21.25,21.625,21.25,21.5625,16.823933,21300,EWY
7/13/00,22,22,21.6875,21.9375,17.116522,13300,EWY
7/14/00,21.375,21.375,21.25,21.25,16.580109,1600,EWY
7/17/00,21.5,21.5,21.5,21.5,16.775166,44000,EWY
7/18/00,20.875,21.125,20.875,20.875,16.287518,1600,EWY
7/19/00,20.25,20.6875,20.25,20.6875,16.141222,37400,EWY
7/20/00,20.25,20.4375,20.25,20.375,15.897397,11200,EWY
7/21/00,20.25,20.5,20.25,20.5,15.994928,11100,EWY
7/24/00,19.25,19.5,19.1875,19.5,15.214691,17200,EWY
7/25/00,19.375,19.5625,19.375,19.5625,15.263453,8500,EWY
7/26/00,19.5,19.5625,19.4375,19.4375,15.165919,10700,EWY
7/27/00,18.75,19,18.625,19,14.824569,4200,EWY
7/28/00,18,18.25,17.9375,17.9375,13.995563,18200,EWY
7/31/00,18.5,18.5,18.25,18.4375,14.385679,7500,EWY
8/1/00,18.875,18.875,18.75,18.75,14.629503,17000,EWY
8/2/00,19,19.1875,18.875,18.875,14.727033,36300,EWY
8/3/00,18.75,18.875,18.75,18.875,14.727033,2200,EWY
8/4/00,18.75,18.75,18.25,18.625,14.531976,28100,EWY
8/7/00,17.875,18,17.625,18,14.044322,11600,EWY
8/8/00,17.5,17.5,17.375,17.375,13.556676,2200,EWY
8/9/00,18.5,18.5,18.4375,18.5,14.434443,4200,EWY
8/10/00,19,19.5,19,19.1875,14.970859,3800,EWY
8/11/00,18.875,18.875,18.75,18.875,14.727033,1700,EWY
8/14/00,18.9375,19.4375,18.9375,19.4375,15.165919,9100,EWY
8/15/00,19.3125,19.3125,19.1875,19.25,15.019624,23200,EWY
8/16/00,19.625,19.9375,19.625,19.9375,15.556043,3500,EWY
8/17/00,19.8125,20.3125,19.75,20.3125,15.848631,7000,EWY
8/18/00,19.5625,19.5625,19,19,14.824569,5000,EWY
8/21/00,19.5,19.5,19,19.0625,14.87333,1800,EWY
8/22/00,19.5,19.6875,19.5,19.5,15.214691,1400,EWY
8/23/00,19.125,19.125,18.8125,18.8125,14.678272,300,EWY
8/24/00,18.8125,19.125,18.8125,19.125,14.922094,3000,EWY
8/25/00,19.5625,19.5625,19,19,14.824569,4200,EWY
