Date,Open,High,Low,Close,Adj Close,Volume,Ticker
5/5/06,25.889999,25.99,25.889999,25.99,21.746206,4000,ITA
5/8/06,25.975,25.975,25.860001,25.889999,21.662529,16800,ITA
5/9/06,25.91,25.91,25.84,25.865,21.641615,21600,ITA
5/10/06,25.9,26.07,25.895,25.985001,21.742022,119000,ITA
5/11/06,25.969999,25.99,25.68,25.695,21.499372,22600,ITA
5/12/06,25.525,25.525,25.145,25.145,21.039183,8600,ITA
5/15/06,25.025,25.09,24.92,25.08,20.984793,6200,ITA
5/16/06,25.09,25.145,25,25.040001,20.95133,10600,ITA
5/17/06,24.66,24.66,24.450001,24.450001,20.457657,71600,ITA
5/18/06,24.549999,24.559999,24.205,24.205,20.252668,5000,ITA
5/19/06,24.200001,24.450001,24.16,24.33,20.357258,23400,ITA
5/22/06,24.200001,24.485001,24.190001,24.385,20.403275,17400,ITA
5/23/06,24.5,24.530001,24.200001,24.200001,20.248484,11000,ITA
5/24/06,23.92,24.110001,23.73,24.004999,20.085327,1050200,ITA
5/25/06,24.105,24.245001,24.105,24.120001,20.181549,5800,ITA
5/26/06,24.290001,24.290001,24.209999,24.26,20.298691,2600,ITA
5/30/06,24.209999,24.209999,23.945,23.945,20.035128,71200,ITA
5/31/06,24.025,24.07,23.93,24.07,20.139715,7400,ITA
6/1/06,24.075001,24.415001,24.075001,24.415001,20.428383,6200,ITA
6/2/06,24.540001,24.540001,24.315001,24.4,20.415827,4000,ITA
6/5/06,24.35,24.35,24,24.065001,20.135529,7400,ITA
6/6/06,23.684999,23.684999,23.57,23.57,19.721361,11600,ITA
6/7/06,23.690001,23.92,23.645,23.645,19.784117,19200,ITA
6/8/06,23.549999,23.59,23.049999,23.59,19.738087,9800,ITA
6/9/06,23.635,23.715,23.5,23.5,19.662786,2200,ITA
6/12/06,23.4,23.4,22.879999,22.879999,19.144022,68000,ITA
6/13/06,22.735001,22.825001,22.495001,22.549999,18.867905,646000,ITA
6/14/06,22.6,22.844999,22.6,22.844999,19.114738,3800,ITA
6/15/06,22.969999,23.6,22.969999,23.6,19.746458,19800,ITA
6/16/06,23.6,23.65,23.424999,23.555,19.708813,37200,ITA
6/19/06,23.424999,23.424999,23.209999,23.209999,19.420139,4400,ITA
6/20/06,23.200001,23.290001,23.09,23.129999,19.353199,6400,ITA
6/21/06,23.15,23.555,23.15,23.495001,19.658604,11000,ITA
6/22/06,23.35,23.35,23.225,23.325001,19.531744,6000,ITA
6/23/06,23.16,23.424999,23.16,23.325001,19.531744,6800,ITA
6/26/06,23.225,23.254999,23.15,23.254999,19.473124,14800,ITA
6/27/06,23.299999,23.299999,22.934999,22.99,19.251219,5000,ITA
6/28/06,22.934999,22.934999,22.785,22.905001,19.180046,4000,ITA
6/29/06,23.32,23.52,23.195,23.52,19.695034,8600,ITA
6/30/06,23.549999,23.584999,23.549999,23.584999,19.749456,9200,ITA
7/3/06,23.625,23.684999,23.625,23.684999,19.833197,3000,ITA
7/5/06,23.575001,23.575001,23.41,23.535,19.707588,57600,ITA
7/6/06,23.639999,23.77,23.610001,23.655001,19.808073,595600,ITA
7/7/06,23.575001,23.674999,23.385,23.424999,19.615479,305000,ITA
7/10/06,23.6,23.684999,23.455,23.5,19.678282,143400,ITA
7/11/06,23.525,23.959999,23.42,23.93,20.038353,67000,ITA
7/12/06,23.959999,23.969999,23.674999,23.725,19.866688,53000,ITA
7/13/06,23.610001,23.615,23.295,23.35,19.552677,47000,ITA
7/14/06,23.15,23.15,22.790001,23.004999,19.263779,21000,ITA
7/17/06,23.049999,23.1,22.799999,22.85,19.133991,37400,ITA
7/18/06,22.950001,23.02,22.58,22.915001,19.188423,17400,ITA
7/19/06,22.975,23.58,22.975,23.58,19.745277,121400,ITA
7/20/06,23.6,23.745001,23.25,23.25,19.468943,76400,ITA
7/21/06,23.200001,23.200001,23.01,23.129999,19.36845,20200,ITA
7/24/06,23.215,23.545,23.215,23.545,19.715954,12000,ITA
7/25/06,23.575001,24.120001,23.575001,24.055,20.143028,35600,ITA
7/26/06,23.995001,23.995001,23.690001,23.844999,19.967176,112400,ITA
7/27/06,23.950001,24.030001,23.615,23.684999,19.833197,61600,ITA
7/28/06,23.799999,23.855,23.65,23.805,19.93368,44400,ITA
7/31/06,23.715,23.795,23.665001,23.75,19.887625,74200,ITA
8/1/06,23.625,23.625,23.485001,23.620001,19.77877,26800,ITA
8/2/06,23.6,23.75,23.549999,23.655001,19.808073,11600,ITA
8/3/06,23.549999,23.73,23.4,23.684999,19.833197,129400,ITA
8/4/06,23.875,23.879999,23.49,23.584999,19.749456,21000,ITA
8/7/06,23.565001,23.565001,23.325001,23.485001,19.665722,13800,ITA
8/8/06,23.6,23.6,23.174999,23.200001,19.427073,21000,ITA
8/9/06,23.440001,23.440001,22.85,22.860001,19.142359,30000,ITA
