Date,Open,High,Low,Close,Adj Close,Volume,Ticker
5/26/00,56,56,56,56,31.887196,500,IYZ
5/30/00,57.6875,57.6875,57.6875,57.6875,32.84808,200,IYZ
5/31/00,58.1875,58.1875,57.625,57.625,32.812481,1600,IYZ
6/1/00,58,59.3125,58,59.3125,33.773369,2200,IYZ
6/2/00,60.5625,60.5625,60.5625,60.5625,34.485172,800,IYZ
6/5/00,61.5625,61.875,61.5,61.5,35.018974,800,IYZ
6/6/00,61.6875,62.4375,61.6875,62.3125,35.481625,500,IYZ
6/7/00,62.25,62.28125,62.125,62.125,35.374847,600,IYZ
6/8/00,62.375,62.6875,62.3125,62.4375,35.552795,1500,IYZ
6/9/00,62.8125,63,62.46875,62.46875,35.570602,800,IYZ
6/12/00,63,63,62,62,35.303677,1600,IYZ
6/13/00,62.0625,63.0625,62.0625,63.0625,35.908695,700,IYZ
6/14/00,63.6875,63.6875,63.1875,63.1875,35.979874,1100,IYZ
6/15/00,63,63,62.46875,62.46875,35.570602,2600,IYZ
6/16/00,63.5,63.5,62.375,62.375,35.517216,700,IYZ
6/19/00,62.625,63.875,62.53125,63.75,36.300144,2800,IYZ
6/20/00,63.375,63.5625,63,63.28125,36.033234,3500,IYZ
6/21/00,63,63,63,63,35.873096,1500,IYZ
6/22/00,63.078125,63.59375,62.75,62.90625,35.819717,4100,IYZ
6/23/00,62.5,62.5,61.71875,61.71875,35.143543,2000,IYZ
6/26/00,61.8125,61.9375,60,61.125,34.805447,1700,IYZ
6/27/00,61.5625,61.90625,61.375,61.375,34.947796,2100,IYZ
6/28/00,61.375,61.375,61.375,61.375,34.947796,0,IYZ
6/29/00,60,60.1875,59.3125,60.1875,34.271622,1600,IYZ
6/30/00,60.34375,60.375,60,60.28125,34.325001,9200,IYZ
7/3/00,60.5,60.96875,60.5,60.96875,34.716465,700,IYZ
7/5/00,62,62.15625,61.625,61.625,35.090145,2700,IYZ
7/6/00,61.875,61.875,61.625,61.625,35.090145,1400,IYZ
7/7/00,61.75,62.125,61.75,62.125,35.374847,20500,IYZ
7/10/00,62.4375,62.4375,61.96875,61.96875,35.285885,300,IYZ
7/11/00,61.75,61.875,61.296875,61.296875,34.903313,5800,IYZ
7/12/00,61.875,61.875,61.6875,61.875,35.232494,1600,IYZ
7/13/00,62.25,63.03125,62.1875,63.03125,35.8909,2000,IYZ
7/14/00,63.625,63.625,63,63.3125,36.051044,5700,IYZ
