Date,Open,High,Low,Close,Adj Close,Volume,Ticker
4/28/06,12.9,13.98,12.87,13.812,13.812,23432000,SLV
5/1/06,13.92,14.179,13.75,13.87,13.87,14835000,SLV
5/2/06,14.245,14.4,14.1,14.365,14.365,12511000,SLV
5/3/06,14.45,14.464,13.413,13.925,13.925,15141000,SLV
5/4/06,13.95,14.287,13.68,14,14,11075000,SLV
5/5/06,14,14.03,13.75,13.995,13.995,6586000,SLV
5/8/06,13.8,14,13.506,14,14,9453000,SLV
5/9/06,14.098,14.625,14.06,14.5,14.5,11054000,SLV
5/10/06,14.29,14.575,14.25,14.526,14.526,13913000,SLV
5/11/06,15.082,15.25,14.8,14.86,14.86,12533000,SLV
5/12/06,14.89,14.9,14.217,14.464,14.464,10129000,SLV
5/15/06,13.394,13.78,13.204,13.27,13.27,12581000,SLV
5/16/06,13.51,13.675,13.275,13.58,13.58,7200000,SLV
5/17/06,13.555,13.748,12.921,13.09,13.09,7821000,SLV
5/18/06,13.22,13.365,12.602,12.602,12.602,8020000,SLV
5/19/06,12.291,12.683,12.168,12.6,12.6,8460000,SLV
5/22/06,12.398,12.6,12.254,12.515,12.515,5949000,SLV
5/23/06,12.985,13.252,12.89,13.045,13.045,8188000,SLV
5/24/06,12.698,12.895,12.423,12.545,12.545,5349000,SLV
5/25/06,12.555,12.79,12.439,12.685,12.685,4998000,SLV
5/26/06,12.769,12.777,12.49,12.67,12.67,3477000,SLV
5/30/06,13.2,13.36,13.028,13.097,13.097,6204000,SLV
5/31/06,13.065,13.13,12.366,12.628,12.628,6342000,SLV
6/1/06,11.825,12.256,11.81,12.04,12.04,8007000,SLV
6/2/06,12.19,12.311,12.003,12.175,12.175,3807000,SLV
6/5/06,12.28,12.38,12.076,12.092,12.092,4317000,SLV
6/6/06,11.868,11.948,11.68,11.835,11.835,6764000,SLV
6/7/06,11.595,12.043,11.53,11.87,11.87,6712000,SLV
6/8/06,11.688,11.7,11.134,11.235,11.235,6754000,SLV
6/9/06,11.5,11.55,11.103,11.192,11.192,4204000,SLV
6/12/06,11.26,11.323,10.916,10.93,10.93,5380000,SLV
6/13/06,10.373,10.45,9.563,9.625,9.625,20708000,SLV
6/14/06,9.88,9.987,9.549,9.67,9.67,9620000,SLV
6/15/06,10.14,10.351,10.025,10.264,10.264,8796000,SLV
6/16/06,10.167,10.337,9.859,10.29,10.29,4103000,SLV
6/19/06,10.002,10.092,9.915,9.947,9.947,3696000,SLV
6/20/06,10.06,10.35,9.969,10.286,10.286,2978000,SLV
6/21/06,10.264,10.626,10.246,10.5,10.5,3908000,SLV
6/22/06,10.4,10.489,10.245,10.257,10.257,2434000,SLV
6/23/06,10.205,10.475,10.187,10.353,10.353,5332000,SLV
6/26/06,10.42,10.445,10.132,10.317,10.317,2010000,SLV
6/27/06,10.499,10.688,10.214,10.214,10.214,5217000,SLV
6/28/06,10.385,10.387,10.185,10.245,10.245,2816000,SLV
6/29/06,10.409,10.8,10.409,10.782,10.782,6410000,SLV
6/30/06,11.007,11.155,10.934,11.139,11.139,7536000,SLV
7/3/06,11.319,11.468,11.27,11.38,11.38,2103000,SLV
7/5/06,11.498,11.525,11.249,11.47,11.47,3619000,SLV
7/6/06,11.42,11.675,11.325,11.599,11.599,3919000,SLV
7/7/06,11.5,11.51,11.3,11.325,11.325,3436000,SLV
7/10/06,11.157,11.258,11.051,11.084,11.084,2749000,SLV
7/11/06,11.315,11.62,11.289,11.57,11.57,2908000,SLV
7/12/06,11.73,11.83,11.375,11.592,11.592,5695000,SLV
7/13/06,11.659,11.66,11.361,11.65,11.65,4515000,SLV
7/14/06,11.652,11.71,11.474,11.499,11.499,2867000,SLV
7/17/06,11.258,11.3,10.856,10.897,10.897,6461000,SLV
7/18/06,11.069,11.078,10.47,10.595,10.595,4719000,SLV
7/19/06,10.683,11.171,10.658,11.139,11.139,2368000,SLV
7/20/06,11.001,11.29,10.891,10.9,10.9,2429000,SLV
7/21/06,11.244,11.244,10.717,10.838,10.838,2633000,SLV
7/24/06,10.803,10.92,10.63,10.918,10.918,3195000,SLV
7/25/06,10.972,11,10.78,10.993,10.993,2733000,SLV
7/26/06,10.944,11.178,10.865,11.107,11.107,2060000,SLV
7/27/06,11.456,11.489,11.269,11.375,11.375,2943000,SLV
7/28/06,11.35,11.425,11.301,11.4,11.4,1826000,SLV
7/31/06,11.415,11.456,11.243,11.415,11.415,2537000,SLV
8/1/06,11.414,11.766,11.4,11.76,11.76,2751000,SLV
8/2/06,11.899,12.253,11.899,12.17,12.17,4575000,SLV
8/3/06,12.115,12.225,11.995,12.08,12.08,2456000,SLV
8/4/06,12.482,12.58,12.291,12.383,12.383,3716000,SLV
8/7/06,12.475,12.475,12.164,12.31,12.31,3070000,SLV
8/8/06,12.227,12.359,12.2,12.26,12.26,1655000,SLV
8/9/06,12.43,12.65,12.43,12.518,12.518,3686000,SLV
8/10/06,12.327,12.397,12.06,12.121,12.121,3909000,SLV
8/11/06,12.266,12.372,11.776,11.919,11.919,4086000,SLV
8/14/06,11.911,12.225,11.839,12.048,12.048,3472000,SLV
8/15/06,12.015,12.127,11.95,12.105,12.105,1557000,SLV
8/16/06,12.329,12.43,12.25,12.324,12.324,2334000,SLV
8/17/06,12.205,12.205,11.905,11.967,11.967,2984000,SLV
8/18/06,12.085,12.121,11.85,12.06,12.06,2293000,SLV
8/21/06,12.371,12.442,12.321,12.412,12.412,2415000,SLV
8/22/06,12.176,12.32,12.101,12.295,12.295,2165000,SLV
8/23/06,12.6,12.635,12.412,12.5,12.5,3628000,SLV
8/24/06,12.568,12.599,12.289,12.36,12.36,2887000,SLV
8/25/06,12.346,12.435,12.292,12.42,12.42,1733000,SLV
8/28/06,12.41,12.414,11.98,12.032,12.032,4205000,SLV
8/29/06,12.059,12.29,11.853,12.275,12.275,3214000,SLV
8/30/06,12.44,12.525,12.336,12.511,12.511,2982000,SLV
8/31/06,12.656,12.917,12.62,12.908,12.908,4310000,SLV
9/1/06,12.825,12.978,12.675,12.96,12.96,4296000,SLV
9/5/06,13.177,13.22,12.936,12.975,12.975,6456000,SLV
9/6/06,13.066,13.225,12.97,12.988,12.988,3501000,SLV
9/7/06,12.8,12.838,12.39,12.57,12.57,5737000,SLV
9/8/06,12.118,12.24,12.001,12.13,12.13,7386000,SLV
9/11/06,11.654,11.7,11.055,11.075,11.075,12051000,SLV
9/12/06,11.123,11.276,10.959,11.019,11.019,5852000,SLV
9/13/06,11.19,11.28,11,11.185,11.185,3694000,SLV
9/14/06,11.22,11.25,10.656,10.7,10.7,7086000,SLV
9/15/06,10.691,10.943,10.461,10.799,10.799,6352000,SLV
9/18/06,10.801,11.21,10.801,11.17,11.17,6093000,SLV
9/19/06,11.113,11.188,10.731,10.788,10.788,5779000,SLV
9/20/06,11.002,11.145,10.854,10.886,10.886,3960000,SLV
9/21/06,10.887,11.2,10.844,11.185,11.185,3542000,SLV
9/22/06,11.358,11.368,11.064,11.151,11.151,2708000,SLV
9/25/06,11.08,11.275,11.03,11.188,11.188,2775000,SLV
9/26/06,11.275,11.465,11.195,11.378,11.378,2550000,SLV
9/27/06,11.584,11.65,11.45,11.62,11.62,2676000,SLV
9/28/06,11.657,11.68,11.5,11.541,11.541,2480000,SLV
9/29/06,11.43,11.494,11.2,11.451,11.451,2786000,SLV
10/2/06,11.63,11.674,11.414,11.435,11.435,2158000,SLV
10/3/06,11.143,11.143,10.792,10.81,10.81,4700000,SLV
10/4/06,10.925,10.928,10.541,10.8,10.8,6287000,SLV
10/5/06,11.09,11.1,10.903,11.078,11.078,3305000,SLV
10/6/06,10.96,11.137,10.777,11.095,11.095,2112000,SLV
10/9/06,11.4,11.412,11.21,11.278,11.278,1821000,SLV
10/10/06,11.14,11.27,11.06,11.118,11.118,1644000,SLV
10/11/06,11.275,11.42,11.155,11.173,11.173,2093000,SLV
10/12/06,11.11,11.35,11.11,11.291,11.291,1273000,SLV
10/13/06,11.51,11.639,11.453,11.639,11.639,2600000,SLV
10/16/06,11.783,11.85,11.735,11.845,11.845,5366000,SLV
10/17/06,11.898,11.898,11.563,11.688,11.688,4617000,SLV
10/18/06,11.808,11.875,11.674,11.722,11.722,2932000,SLV
10/19/06,11.911,12.073,11.901,12.07,12.07,2958000,SLV
10/20/06,11.983,12.055,11.801,11.877,11.877,1949000,SLV
10/23/06,11.63,11.732,11.563,11.639,11.639,2789000,SLV
10/24/06,11.393,11.822,11.225,11.789,11.789,3779000,SLV
10/25/06,11.748,11.924,11.671,11.895,11.895,3547000,SLV
10/26/06,12.063,12.198,12.042,12.106,12.106,4842000,SLV
10/27/06,12.116,12.134,11.941,12.011,12.011,1943000,SLV
10/30/06,12.12,12.23,12.073,12.106,12.106,3466000,SLV
10/31/06,12.024,12.27,11.996,12.268,12.268,3581000,SLV
11/1/06,12.49,12.513,12.289,12.444,12.444,4034000,SLV
11/2/06,12.499,12.6,12.49,12.515,12.515,3494000,SLV
11/3/06,12.48,12.608,12.414,12.552,12.552,3447000,SLV
11/6/06,12.518,12.735,12.502,12.61,12.61,3112000,SLV
11/7/06,12.625,12.715,12.561,12.595,12.595,4536000,SLV
11/8/06,12.604,12.692,12.385,12.417,12.417,3494000,SLV
11/9/06,12.752,13.035,12.711,13.028,13.028,6290000,SLV
11/10/06,13.003,13.074,12.833,12.967,12.967,3935000,SLV
11/13/06,12.721,12.9,12.69,12.86,12.86,3321000,SLV
11/14/06,12.957,12.968,12.701,12.776,12.776,5012000,SLV
11/15/06,12.59,12.918,12.571,12.863,12.863,6295000,SLV
11/16/06,13.088,13.125,12.735,12.755,12.755,5420000,SLV
11/17/06,12.719,12.836,12.671,12.764,12.764,3239000,SLV
11/20/06,12.906,12.964,12.7,12.705,12.705,3309000,SLV
11/21/06,13.002,13.074,12.925,13.03,13.03,4085000,SLV
11/22/06,13.079,13.211,12.955,13.033,13.033,3126000,SLV
11/24/06,13.48,13.495,13.385,13.411,13.411,2422000,SLV
11/27/06,13.5,13.544,13.432,13.495,13.495,2921000,SLV
11/28/06,13.525,13.736,13.396,13.734,13.734,5954000,SLV
11/29/06,13.633,13.705,13.507,13.568,13.568,4715000,SLV
11/30/06,13.825,13.968,13.79,13.968,13.968,5011000,SLV
12/1/06,13.935,14.047,13.9,13.958,13.958,4149000,SLV
12/4/06,13.962,14.09,13.91,14.085,14.085,2519000,SLV
12/5/06,14.136,14.17,13.751,13.816,13.816,5819000,SLV
12/6/06,13.67,13.813,13.508,13.57,13.57,6175000,SLV
12/7/06,13.636,13.9,13.43,13.886,13.886,5499000,SLV
12/8/06,13.884,13.968,13.638,13.68,13.68,5636000,SLV
12/11/06,13.66,13.88,13.651,13.815,13.815,3395000,SLV
12/12/06,13.834,13.875,13.765,13.813,13.813,2183000,SLV
12/13/06,13.627,13.794,13.548,13.75,13.75,3561000,SLV
12/14/06,13.789,13.832,13.702,13.717,13.717,2041000,SLV
12/15/06,13.663,13.663,12.749,12.815,12.815,15330000,SLV
12/18/06,12.55,12.635,12.259,12.447,12.447,17189000,SLV
