Date,Open,High,Low,Close,Adj Close,Volume,Ticker
12/22/98,25.3125,25.46875,25.3125,25.46875,19.450289,3700,XLY
12/23/98,25.5,25.75,25.46875,25.578125,19.533821,12000,XLY
12/24/98,25.9375,26.046875,25.8125,26.046875,19.891802,1600,XLY
12/28/98,25.921875,25.9375,25.8125,25.8125,19.712803,8600,XLY
12/29/98,25.890625,26.375,25.890625,26.375,20.14238,1100,XLY
12/30/98,26.359375,26.40625,26.15625,26.15625,19.975327,31700,XLY
12/31/98,26.15625,26.25,26.125,26.125,19.951462,32400,XLY
1/4/99,26.15625,26.53125,25.90625,25.96875,19.83213,5200,XLY
1/5/99,26.125,26.40625,26.125,26.40625,20.166256,1300,XLY
1/6/99,26.71875,27.15625,26.71875,27.15625,20.739019,8100,XLY
1/7/99,27.03125,27.3125,27,27.125,20.715155,13700,XLY
1/8/99,27.28125,27.40625,27.109375,27.15625,20.739019,18600,XLY
1/11/99,27.25,27.28125,26.796875,27.015625,20.631624,63100,XLY
1/12/99,26.609375,26.6875,26.28125,26.3125,20.094656,3300,XLY
1/13/99,25.6875,26.4375,25.6875,26.4375,20.190107,3400,XLY
1/14/99,26.1875,26.3125,25.71875,25.84375,19.736677,36600,XLY
1/15/99,26.1875,26.203125,26.046875,26.171875,19.987255,34800,XLY
1/19/99,26.46875,26.578125,26.15625,26.15625,19.975327,4100,XLY
1/20/99,26.53125,26.84375,26.421875,26.59375,20.30945,3500,XLY
1/21/99,26.53125,26.5625,26.28125,26.34375,20.118513,31500,XLY
1/22/99,25.9375,26.546875,25.875,26.46875,20.213987,12300,XLY
1/25/99,26.34375,26.46875,26.21875,26.40625,20.166256,8100,XLY
1/26/99,26.5625,27.03125,26.484375,27.03125,20.643555,3700,XLY
1/27/99,27.0625,27.125,27,27,20.619694,1900,XLY
1/28/99,27.0625,27.28125,27.0625,27.28125,20.83448,4300,XLY
1/29/99,27.375,27.5625,27.1875,27.46875,20.977665,6800,XLY
2/1/99,27.59375,27.609375,27.4375,27.53125,21.0254,6100,XLY
2/2/99,27.3125,27.3125,26.9375,27.1875,20.762901,20900,XLY
2/3/99,27.125,27.65625,27.09375,27.625,21.097,23100,XLY
2/4/99,27.796875,27.828125,27.4375,27.46875,20.977665,19500,XLY
2/5/99,27.1875,27.359375,26.78125,26.78125,20.452625,5800,XLY
2/8/99,27.015625,27.21875,26.671875,27.21875,20.786747,8200,XLY
2/9/99,26.875,26.90625,26.375,26.375,20.14238,9400,XLY
2/10/99,26.34375,26.53125,26.21875,26.375,20.14238,9200,XLY
2/11/99,26.53125,27.265625,26.453125,27.234375,20.798691,12200,XLY
2/12/99,26.875,26.90625,26.578125,26.75,20.42877,5800,XLY
2/16/99,26.984375,27.25,26.96875,27.09375,20.691286,9300,XLY
2/17/99,27.15625,27.546875,27,27,20.619694,14700,XLY
2/18/99,27,27.03125,26.765625,27.03125,20.643555,3500,XLY
2/19/99,27.0625,27.171875,26.984375,27.171875,20.750959,900,XLY
2/22/99,27.25,27.859375,27.25,27.859375,21.275993,14000,XLY
2/23/99,27.875,27.90625,27.5,27.71875,21.168591,6800,XLY
2/24/99,27.90625,28.09375,27.375,27.375,20.906088,9000,XLY
2/25/99,27.3125,27.34375,26.65625,27.0625,20.667423,19100,XLY
2/26/99,27.03125,27.40625,27.03125,27.296875,20.846418,8500,XLY
3/1/99,27.21875,27.3125,27.0625,27.3125,20.858349,8600,XLY
3/2/99,27.375,27.703125,27.375,27.375,20.906088,18100,XLY
3/3/99,27.40625,27.453125,27.234375,27.234375,20.798691,1000,XLY
3/4/99,27.84375,27.90625,27.5625,27.8125,21.240194,5400,XLY
3/5/99,28.4375,28.84375,28.4375,28.65625,21.88456,24800,XLY
3/8/99,28.875,28.875,28.40625,28.78125,21.980021,12300,XLY
3/9/99,28.71875,29.03125,28.640625,28.859375,22.039682,12100,XLY
3/10/99,28.875,28.921875,28.71875,28.78125,21.980021,5600,XLY
3/11/99,29,29.265625,28.921875,29.09375,22.218668,13100,XLY
3/12/99,29.40625,29.5625,28.5,29.21875,22.314131,13700,XLY
3/15/99,29.1875,29.296875,29,29.28125,22.361866,7100,XLY
3/16/99,29.46875,29.46875,29,29.125,22.242542,6200,XLY
3/17/99,29.09375,29.09375,28.71875,29,22.147085,6700,XLY
3/18/99,28.8125,29.5,28.8125,29.5,22.528931,7000,XLY
3/19/99,29.46875,29.46875,29.0625,29.0625,22.21892,13100,XLY
3/22/99,29,29,28.625,28.75,21.979996,18600,XLY
3/23/99,28.53125,28.53125,27.8125,27.875,21.311037,9800,XLY
3/24/99,28,28,27.59375,27.65625,21.143801,12900,XLY
3/25/99,28.09375,28.5,27.9375,28.5,21.788876,10200,XLY
3/26/99,28.4375,28.5625,28.1875,28.3125,21.645519,6300,XLY
3/29/99,28.796875,29,28.734375,29,22.171135,5100,XLY
3/30/99,28.875,29.09375,28.78125,29.03125,22.195021,36300,XLY
3/31/99,29.1875,29.21875,28.59375,28.59375,21.860538,24400,XLY
4/1/99,28.75,28.75,28.390625,28.5625,21.836649,4100,XLY
4/5/99,28.75,29.03125,28.65625,28.9375,22.123352,9600,XLY
4/6/99,29.046875,29.28125,28.9375,29.09375,22.242796,10900,XLY
4/7/99,29.328125,29.40625,29.25,29.34375,22.433933,13600,XLY
4/8/99,29.4375,30,29.4375,30,22.935648,20800,XLY
4/9/99,29.875,30.328125,29.875,30.28125,23.150677,72900,XLY
4/12/99,29.8125,30.65625,29.8125,30.53125,23.341801,21100,XLY
4/13/99,30.625,30.65625,30.21875,30.375,23.222347,32700,XLY
4/14/99,30.375,30.4375,29.6875,29.6875,22.696745,49700,XLY
4/15/99,29.875,29.9375,29.1875,29.625,22.64896,35800,XLY
4/16/99,29.625,29.75,29.40625,29.71875,22.720627,11600,XLY
4/19/99,30.1875,30.5625,28.96875,29.0625,22.21892,37400,XLY
4/20/99,29.25,29.5625,29.15625,29.4375,22.505598,15600,XLY
4/21/99,29.625,29.9375,29.46875,29.9375,22.887873,45100,XLY
4/22/99,30.09375,30.3125,29.875,30.015625,22.947599,35700,XLY
4/23/99,30.125,30.40625,30.125,30.34375,23.198454,2000,XLY
4/26/99,30.46875,30.5,30.15625,30.15625,23.055099,94400,XLY
4/27/99,30.34375,30.375,30.125,30.234375,23.114838,4100,XLY
4/28/99,30.40625,30.59375,30.125,30.125,23.031221,6000,XLY
4/29/99,29.875,30.09375,29.3125,29.4375,22.505598,17900,XLY
4/30/99,29.71875,29.78125,28.46875,29.34375,22.433933,37300,XLY
5/3/99,29.40625,30.09375,29.40625,30.0625,22.983427,90600,XLY
5/4/99,30.40625,30.4375,29.53125,29.71875,22.720627,191400,XLY
5/5/99,29.78125,29.78125,29,29.46875,22.529499,49700,XLY
5/6/99,29.1875,29.3125,28.8125,28.8125,22.027777,12000,XLY
5/7/99,29.15625,29.46875,29.125,29.46875,22.529499,25600,XLY
5/10/99,29.5625,29.90625,29.25,29.4375,22.505598,19200,XLY
5/11/99,29.71875,30.21875,29.71875,30.03125,22.959539,31100,XLY
5/12/99,30.0625,30.21875,29.6875,30.21875,23.102886,12500,XLY
5/13/99,30.40625,30.40625,29.875,30.0625,22.983427,13600,XLY
5/14/99,29.375,29.625,29.34375,29.46875,22.529499,10200,XLY
5/17/99,29,29.15625,28.5625,28.875,22.075569,10400,XLY
5/18/99,29.09375,29.53125,29.0625,29.0625,22.21892,5100,XLY
5/19/99,29.34375,29.34375,28.71875,28.71875,21.956106,700,XLY
5/20/99,29.125,29.1875,28.96875,28.96875,22.147245,7500,XLY
5/21/99,28.9375,28.9375,28.75,28.78125,22.003889,5100,XLY
5/24/99,28.71875,28.875,28.15625,28.15625,21.526056,3600,XLY
5/25/99,28.5625,28.59375,27.875,27.875,21.311037,7000,XLY
5/26/99,28.15625,28.1875,27.8125,28.1875,21.549955,5100,XLY
5/27/99,28,28.03125,27.625,27.625,21.119911,11900,XLY
5/28/99,27.84375,28.1875,27.84375,28.015625,21.418568,1100,XLY
6/1/99,28.0625,28.1875,27.765625,28.1875,21.549955,29600,XLY
6/2/99,28.5,28.53125,28.125,28.125,21.502169,6400,XLY
6/3/99,28.84375,28.875,28.65625,28.78125,22.003889,4200,XLY
6/4/99,29.15625,29.15625,28.875,29,22.171135,4900,XLY
6/7/99,28.875,29.125,28.875,29.078125,22.230854,2900,XLY
6/8/99,28.96875,29,28.640625,28.640625,21.896372,4200,XLY
6/9/99,28.53125,28.59375,28.359375,28.359375,21.681355,4900,XLY
6/10/99,28.21875,28.21875,27.890625,27.953125,21.370775,7800,XLY
6/11/99,28.09375,28.25,27.765625,27.8125,21.26326,2600,XLY
6/14/99,28.0625,28.125,27.84375,27.84375,21.287159,1300,XLY
6/15/99,27.875,27.875,27.625,27.65625,21.143801,4900,XLY
6/16/99,28.1875,28.453125,28.15625,28.40625,21.717186,19800,XLY
6/17/99,28.34375,28.40625,28.25,28.265625,21.60968,3200,XLY
6/18/99,28.1875,28.46875,28.15625,28.4375,21.770351,5100,XLY
