Date,Open,High,Low,Close,Adj Close,Volume
2000-07-14,18.750000,18.875000,18.750000,18.875000,9.761427,25000
2000-07-17,19.937500,20.000000,19.937500,20.000000,10.343232,10000
2000-07-18,19.937500,19.937500,19.937500,19.937500,10.310907,10000
2000-07-19,19.437500,19.437500,19.437500,19.437500,10.052328,10000
2000-07-20,19.875000,19.875000,19.875000,19.875000,10.278587,5000
2000-07-21,20.000000,20.000000,20.000000,20.000000,10.343232,200
2000-07-24,20.000000,20.000000,20.000000,20.000000,10.343232,0
2000-07-25,20.000000,20.000000,20.000000,20.000000,10.343232,0
2000-07-26,20.000000,20.000000,20.000000,20.000000,10.343232,0
2000-07-27,19.750000,19.750000,19.750000,19.750000,10.213942,100
2000-07-28,20.000000,20.000000,19.375000,19.375000,10.020005,21300
2000-07-31,19.312500,19.375000,19.312500,19.375000,10.020005,200
2000-08-01,19.000000,19.250000,19.000000,19.250000,9.955363,7400
2000-08-02,19.000000,19.000000,19.000000,19.000000,9.826071,100
2000-08-03,18.875000,18.875000,18.875000,18.875000,9.761427,10000
2000-08-04,19.375000,19.625000,19.375000,19.625000,10.149298,700
2000-08-07,19.562500,19.625000,19.437500,19.625000,10.149298,1100
2000-08-08,19.625000,19.625000,19.625000,19.625000,10.149298,0
2000-08-09,19.625000,19.625000,19.625000,19.625000,10.149298,0
2000-08-10,19.000000,19.000000,19.000000,19.000000,9.826071,200
2000-08-11,19.437500,19.437500,19.437500,19.437500,10.052328,600
2000-08-14,19.437500,19.437500,19.437500,19.437500,10.052328,0
2000-08-15,20.250000,20.250000,20.000000,20.000000,10.343232,5400
2000-08-16,20.000000,20.000000,20.000000,20.000000,10.343232,0
2000-08-17,20.312500,20.312500,20.312500,20.312500,10.504847,300
2000-08-18,19.750000,19.750000,19.750000,19.750000,10.213942,200
2000-08-21,19.750000,19.750000,19.750000,19.750000,10.213942,300
2000-08-22,19.750000,19.750000,19.750000,19.750000,10.213942,0
2000-08-23,19.750000,19.750000,19.750000,19.750000,10.213942,0
2000-08-24,19.250000,19.250000,19.250000,19.250000,10.142291,15000
2000-08-25,19.500000,19.625000,19.500000,19.625000,10.339862,2200
2000-08-28,19.750000,19.750000,19.687500,19.687500,10.372794,500
2000-08-29,19.000000,19.375000,19.000000,19.187500,10.109358,27300
2000-08-30,19.187500,19.187500,19.187500,19.187500,10.109358,0
2000-08-31,19.812500,19.875000,19.750000,19.750000,10.405724,2600
2000-09-01,19.750000,19.750000,19.750000,19.750000,10.405724,4900
2000-09-05,19.625000,19.625000,19.625000,19.625000,10.339862,300
2000-09-06,20.187500,20.250000,20.125000,20.250000,10.669156,2700
2000-09-07,20.375000,20.375000,20.250000,20.312500,10.702091,4400
2000-09-08,20.000000,20.000000,19.500000,19.500000,10.274003,1100
2000-09-11,19.500000,20.062500,19.500000,20.000000,10.537442,1400
2000-09-12,19.687500,19.687500,19.687500,19.687500,10.372794,500
2000-09-13,19.375000,19.437500,19.250000,19.250000,10.142291,2100
2000-09-14,19.000000,19.000000,19.000000,19.000000,10.010571,1100
2000-09-15,18.437500,18.625000,18.437500,18.625000,9.812990,10600
2000-09-18,18.375000,18.375000,18.125000,18.187500,9.582485,1000
2000-09-19,18.000000,18.062500,18.000000,18.062500,9.516628,10500
2000-09-20,17.625000,17.687500,17.625000,17.687500,9.319046,400
2000-09-21,18.000000,18.000000,18.000000,18.000000,9.483697,10000
2000-09-22,18.062500,18.062500,18.062500,18.062500,9.516628,1800
2000-09-25,18.437500,18.437500,18.437500,18.437500,9.714203,2000
2000-09-26,17.750000,18.250000,17.750000,18.250000,9.615414,10700
2000-09-27,17.937500,17.937500,17.937500,17.937500,9.450766,100
2000-09-28,17.937500,17.937500,17.937500,17.937500,9.450766,0
2000-09-29,18.125000,18.125000,18.125000,18.125000,9.549555,300
2000-10-02,18.062500,18.062500,17.625000,17.812500,9.384906,500
2000-10-03,17.562500,17.562500,17.562500,17.562500,9.253186,5100
2000-10-04,17.562500,18.000000,17.562500,18.000000,9.483697,200
2000-10-05,18.187500,18.187500,18.187500,18.187500,9.582485,200
2000-10-06,18.000000,18.000000,18.000000,18.000000,9.483697,200
2000-10-09,17.187500,17.187500,17.187500,17.187500,9.055615,100
2000-10-10,17.750000,17.937500,17.500000,17.500000,9.220257,900
2000-10-11,17.687500,17.687500,17.687500,17.687500,9.319046,200
2000-10-12,17.062500,17.062500,17.062500,17.062500,8.989756,500
2000-10-13,17.187500,17.250000,17.125000,17.250000,9.088542,12200
2000-10-16,17.437500,17.437500,17.437500,17.437500,9.187332,5800
2000-10-17,17.187500,17.187500,17.000000,17.000000,8.956824,300
2000-10-18,17.000000,17.000000,17.000000,17.000000,8.956824,0
2000-10-19,17.187500,17.187500,17.187500,17.187500,9.055615,2000
2000-10-20,16.875000,16.937500,16.875000,16.937500,8.923895,1500
2000-10-23,16.687500,16.687500,16.125000,16.125000,8.495812,300
2000-10-24,16.125000,16.125000,16.125000,16.125000,8.495812,0
2000-10-25,15.125000,15.125000,15.125000,15.125000,7.968940,200
2000-10-26,15.187500,15.187500,15.187500,15.187500,8.001869,100
2000-10-27,15.187500,15.187500,15.187500,15.187500,8.001869,0
2000-10-30,15.187500,15.187500,15.187500,15.187500,8.001869,0
2000-10-31,16.125000,16.125000,16.125000,16.125000,8.495812,500
2000-11-01,16.312500,16.500000,16.312500,16.500000,8.693389,1200
2000-11-02,16.500000,16.500000,16.500000,16.500000,8.693389,3100
2000-11-03,16.250000,16.250000,15.750000,16.000000,8.429953,1800
2000-11-06,16.000000,16.000000,16.000000,16.000000,8.429953,700
2000-11-07,16.000000,16.000000,16.000000,16.000000,8.429953,12000
2000-11-08,16.687500,16.687500,16.000000,16.000000,8.429953,7300
2000-11-09,15.562500,15.562500,15.500000,15.500000,8.166517,1500
2000-11-10,15.500000,15.500000,15.500000,15.500000,8.166517,0
2000-11-13,15.750000,15.750000,15.312500,15.312500,8.067728,4400
2000-11-14,16.000000,16.000000,15.937500,15.937500,8.397022,300
2000-11-15,15.937500,15.937500,15.937500,15.937500,8.397022,0
2000-11-16,15.812500,15.812500,15.812500,15.812500,8.331165,200
2000-11-17,15.250000,15.437500,15.250000,15.375000,8.100657,2800
2000-11-20,15.375000,15.375000,15.375000,15.375000,8.100657,0
2000-11-21,15.375000,15.375000,15.375000,15.375000,8.100657,0
2000-11-22,15.375000,15.375000,15.375000,15.375000,8.100657,0
2000-11-24,15.375000,15.375000,15.375000,15.375000,8.100657,0
2000-11-27,15.562500,15.562500,15.312500,15.312500,8.067728,7800
2000-11-28,15.000000,15.000000,14.687500,14.687500,7.738431,600
2000-11-29,14.687500,14.687500,14.687500,14.687500,7.738431,0
2000-11-30,14.437500,14.437500,14.437500,14.437500,7.606715,13900
2000-12-01,14.437500,14.437500,14.437500,14.437500,7.606715,0
